asset_id,campaign_id,name,type,format,size_mb,dimensions,duration_seconds,emotional_trigger,brand_integration,visual_distinctness,text_readability,color_harmony,performance_score,a_b_test_variant,tenant_id,created_at
64e17c83-e12e-4630-8e6d-a419af821471,11f829a4-0ee0-4c3b-ae9c-cf855f23adfc,P&G Product Launch 2024_asset_1,banner,svg,19.82,300x250,56,Excitement,Subtle,0.53,0.55,0.92,0.601,A,tbwa,2025-06-08T23:23:33.441342
a30609d2-846f-45a6-91b2-1b6912099cab,11f829a4-0ee0-4c3b-ae9c-cf855f23adfc,P&G Product Launch 2024_asset_2,gif,png,40.06,1920x1080,,Nostalgia,Moderate,0.5,0.31,0.88,0.883,,tbwa,2025-06-08T23:23:33.441361
b9815bf1-fb14-41d5-95e0-89f7bf6021ef,11f829a4-0ee0-4c3b-ae9c-cf855f23adfc,P&G Product Launch 2024_asset_3,video,png,9.46,300x1080,,Nostalgia,Prominent,0.77,0.44,0.9,0.693,,tbwa,2025-06-08T23:23:33.441371
95a5a9ef-45c3-4ff4-ab12-ef807d6d76f7,11f829a4-0ee0-4c3b-ae9c-cf855f23adfc,P&G Product Launch 2024_asset_4,banner,png,9.43,1080x1080,,Joy,Moderate,0.79,0.99,0.67,0.55,,tbwa,2025-06-08T23:23:33.441379
217d067a-9c58-42f9-b50a-1de0f0d44e75,11f829a4-0ee0-4c3b-ae9c-cf855f23adfc,P&G Product Launch 2024_asset_5,image,png,24.69,728x90,,Excitement,Prominent,0.64,0.36,0.77,0.665,C,tbwa,2025-06-08T23:23:33.441388
8a3771bb-8ba9-4c65-b828-d6955f52cf51,11f829a4-0ee0-4c3b-ae9c-cf855f23adfc,P&G Product Launch 2024_asset_6,image,png,43.7,1080x1080,,Fear,Minimal,0.92,0.93,0.93,0.49,,tbwa,2025-06-08T23:23:33.441396
e96682fc-ea0f-4481-963f-61ed837c5bcf,11f829a4-0ee0-4c3b-ae9c-cf855f23adfc,P&G Product Launch 2024_asset_7,infographic,mp4,38.44,1920x1080,,Surprise,Prominent,0.8,0.72,0.92,0.855,,tbwa,2025-06-08T23:23:33.441404
ed117915-aa54-4454-9fe5-efc8b4c2899b,11f829a4-0ee0-4c3b-ae9c-cf855f23adfc,P&G Product Launch 2024_asset_8,banner,jpg,4.34,300x1920,42,Excitement,Prominent,0.22,0.86,0.84,0.902,,tbwa,2025-06-08T23:23:33.441412
89a08fa3-1246-4391-af5e-ba852b339e8e,956f0859-c9ec-4ec0-b856-b8566c1e768c,McDonald's Social Media 2023_asset_1,video,jpg,0.43,728x1920,,Fear,Subtle,0.21,0.72,0.55,0.851,,tbwa,2025-06-08T23:23:33.441421
1b1815b3-4998-4d2e-bea6-2ee315b07a8e,956f0859-c9ec-4ec0-b856-b8566c1e768c,McDonald's Social Media 2023_asset_2,banner,png,20.39,300x1080,,Nostalgia,Minimal,0.23,0.3,0.81,0.592,,tbwa,2025-06-08T23:23:33.441429
cd8a17a7-ecc9-4abe-8731-a7b2af24afa7,956f0859-c9ec-4ec0-b856-b8566c1e768c,McDonald's Social Media 2023_asset_3,social_post,jpg,22.82,300x90,,Joy,Subtle,0.61,0.75,0.84,0.737,,tbwa,2025-06-08T23:23:33.441437
63edeeae-b697-472a-ac54-b34586533ca1,956f0859-c9ec-4ec0-b856-b8566c1e768c,McDonald's Social Media 2023_asset_4,banner,jpg,29.52,300x1080,,Joy,Moderate,0.32,0.69,0.5,0.844,,tbwa,2025-06-08T23:23:33.441445
7704e41b-d1c9-44be-9439-51b70702bc43,956f0859-c9ec-4ec0-b856-b8566c1e768c,McDonald's Social Media 2023_asset_5,banner,png,26.46,300x1080,,Nostalgia,Subtle,0.35,0.92,0.53,0.565,,tbwa,2025-06-08T23:23:33.441453
bbe47fe7-062b-4253-ba63-9ead59f61696,956f0859-c9ec-4ec0-b856-b8566c1e768c,McDonald's Social Media 2023_asset_6,social_post,png,47.82,300x1080,,Excitement,Subtle,0.35,0.87,0.99,0.284,,tbwa,2025-06-08T23:23:33.441461
feb3ed2d-5905-4cf4-a540-e3cc2b10d42d,956f0859-c9ec-4ec0-b856-b8566c1e768c,McDonald's Social Media 2023_asset_7,image,gif,38.63,728x1080,25,Surprise,Moderate,0.86,0.58,0.79,0.594,,tbwa,2025-06-08T23:23:33.441469
4b280151-fcf7-47f2-9ec8-dbc6bb4bf8bd,956f0859-c9ec-4ec0-b856-b8566c1e768c,McDonald's Social Media 2023_asset_8,infographic,gif,15.58,300x250,,Nostalgia,Moderate,0.96,0.98,0.88,0.8,C,tbwa,2025-06-08T23:23:33.441478
