sensor_id,sensor_type,timestamp,value,status,tenant_id,metadata
f01eb4f6-df73-4382-883d-4220c1e4584d,data_freshness,2025-05-09T00:00:00.544934,0.939,OK,ces,"{'pipeline': 'ces_data_freshness_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
90d4625b-62ee-46c4-920a-2136405077d2,data_freshness,2025-05-09T04:00:00.544934,0.976,OK,scout,"{'pipeline': 'ces_data_freshness_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
342a69b6-a8c8-4d8b-bc66-ec34cb63f4c3,data_freshness,2025-05-09T08:00:00.544934,0.959,OK,ces,"{'pipeline': 'ces_data_freshness_pipeline', 'environment': 'production', 'region': 'ap-southeast-1'}"
15010c0f-6231-4189-8223-aae171faf076,data_freshness,2025-05-09T12:00:00.544934,0.994,OK,tbwa,"{'pipeline': 'ces_data_freshness_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
782fcceb-2bb3-489d-9503-c71c421b033e,data_freshness,2025-05-09T16:00:00.544934,0.862,WARN,scout,"{'pipeline': 'ces_data_freshness_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
e0c7636b-1e16-47bd-ac55-29a74ccb8bf3,data_freshness,2025-05-09T20:00:00.544934,0.911,OK,ces,"{'pipeline': 'ces_data_freshness_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
6993e29b-938c-451b-ad8f-d051aa5c11b3,model_accuracy,2025-05-09T00:00:00.544934,0.841,WARN,scout,"{'pipeline': 'ces_model_accuracy_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
5181dd83-b022-45c2-ad9e-e6c28aa02933,model_accuracy,2025-05-09T04:00:00.544934,0.933,OK,tbwa,"{'pipeline': 'ces_model_accuracy_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
cb25687d-924b-4765-a904-692d7ceb60d9,model_accuracy,2025-05-09T08:00:00.544934,0.888,OK,ces,"{'pipeline': 'ces_model_accuracy_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
3e44dcd1-ab1d-4a5d-9f94-43f879580438,model_accuracy,2025-05-09T12:00:00.544934,0.807,WARN,scout,"{'pipeline': 'ces_model_accuracy_pipeline', 'environment': 'production', 'region': 'eu-west-1'}"
ec91c61e-1011-4e59-a20c-fdc10f75b49a,model_accuracy,2025-05-09T16:00:00.544934,0.865,OK,ces,"{'pipeline': 'ces_model_accuracy_pipeline', 'environment': 'production', 'region': 'eu-west-1'}"
3f1c1174-ef3b-4dad-819b-e4c2e5302c42,model_accuracy,2025-05-09T20:00:00.544934,0.936,OK,tbwa,"{'pipeline': 'ces_model_accuracy_pipeline', 'environment': 'production', 'region': 'ap-southeast-1'}"
277472f3-3588-429b-b28e-f65b7b089d16,api_latency,2025-05-09T00:00:00.544934,345.395,WARN,scout,"{'pipeline': 'ces_api_latency_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
3017325f-ebb7-43c3-8f8d-69bd08cf887c,api_latency,2025-05-09T04:00:00.544934,278.893,WARN,scout,"{'pipeline': 'ces_api_latency_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
c798afd8-72d0-4b78-ae5e-aed98cfe7107,api_latency,2025-05-09T08:00:00.544934,266.085,WARN,scout,"{'pipeline': 'ces_api_latency_pipeline', 'environment': 'production', 'region': 'ap-southeast-1'}"
9fd7b621-897b-40eb-a4a8-1f65e8c7023b,api_latency,2025-05-09T12:00:00.544934,436.622,FAIL,tbwa,"{'pipeline': 'ces_api_latency_pipeline', 'environment': 'production', 'region': 'ap-southeast-1'}"
3c0b45b4-ebcc-43e8-b9ce-8281c48f0811,api_latency,2025-05-09T16:00:00.544934,219.408,WARN,ces,"{'pipeline': 'ces_api_latency_pipeline', 'environment': 'production', 'region': 'eu-west-1'}"
2f4a04fc-6c71-4920-a369-f0e7f5c60d87,api_latency,2025-05-09T20:00:00.544934,65.112,OK,ces,"{'pipeline': 'ces_api_latency_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
45e5f0c9-a8b8-447d-8e84-3f4f3b93a666,data_quality,2025-05-09T00:00:00.544934,0.873,FAIL,tbwa,"{'pipeline': 'ces_data_quality_pipeline', 'environment': 'production', 'region': 'eu-west-1'}"
af33f64a-c9f7-4f1d-93e4-627646f54f60,data_quality,2025-05-09T04:00:00.544934,0.978,OK,tbwa,"{'pipeline': 'ces_data_quality_pipeline', 'environment': 'production', 'region': 'ap-southeast-1'}"
416f630d-e3c8-48e5-bde8-ee8f46dfd7f4,data_quality,2025-05-09T08:00:00.544934,0.921,WARN,ces,"{'pipeline': 'ces_data_quality_pipeline', 'environment': 'production', 'region': 'ap-southeast-1'}"
b48e70d4-2ced-48e5-a64d-d0f4e779a9fe,data_quality,2025-05-09T12:00:00.544934,0.895,FAIL,scout,"{'pipeline': 'ces_data_quality_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
239375f9-45ad-4606-9417-58e011549325,data_quality,2025-05-09T16:00:00.544934,0.933,WARN,tbwa,"{'pipeline': 'ces_data_quality_pipeline', 'environment': 'production', 'region': 'ap-southeast-1'}"
5560bf26-8f63-402a-b1a4-3a33ad315a0b,data_quality,2025-05-09T20:00:00.544934,0.823,FAIL,ces,"{'pipeline': 'ces_data_quality_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
d6494414-06c9-4a30-accc-db3e2b0e546c,throughput,2025-05-09T00:00:00.544934,935.383,WARN,ces,"{'pipeline': 'ces_throughput_pipeline', 'environment': 'production', 'region': 'eu-west-1'}"
6f6c477d-ed82-4bdd-bfa0-f20f4097bd73,throughput,2025-05-09T04:00:00.544934,1083.601,OK,scout,"{'pipeline': 'ces_throughput_pipeline', 'environment': 'production', 'region': 'eu-west-1'}"
88bb28b1-6867-4137-b1a0-61e11eaf8417,throughput,2025-05-09T08:00:00.544934,1168.504,OK,ces,"{'pipeline': 'ces_throughput_pipeline', 'environment': 'production', 'region': 'ap-southeast-1'}"
a9ad2a7e-66bd-4224-bab9-8f39557be7d5,throughput,2025-05-09T12:00:00.544934,929.507,WARN,scout,"{'pipeline': 'ces_throughput_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
b5a9c647-e33b-4337-89d4-5cef007e7471,throughput,2025-05-09T16:00:00.544934,807.319,FAIL,tbwa,"{'pipeline': 'ces_throughput_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
2c660a8f-8264-463b-880f-b19ee5d6faa4,throughput,2025-05-09T20:00:00.544934,944.406,WARN,tbwa,"{'pipeline': 'ces_throughput_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
2132c26e-763b-4478-9d44-baf9f261ccff,data_freshness,2025-05-10T00:00:00.544934,0.992,OK,tbwa,"{'pipeline': 'ces_data_freshness_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
e18d166c-e098-4be6-a348-4b2fb44387be,data_freshness,2025-05-10T04:00:00.544934,0.995,OK,ces,"{'pipeline': 'ces_data_freshness_pipeline', 'environment': 'production', 'region': 'ap-southeast-1'}"
35cf5c8a-662a-4ec5-8b89-48b4e8b47a28,data_freshness,2025-05-10T08:00:00.544934,0.868,WARN,tbwa,"{'pipeline': 'ces_data_freshness_pipeline', 'environment': 'production', 'region': 'eu-west-1'}"
868396ba-4905-4c69-b83c-d9068f37c8e0,data_freshness,2025-05-10T12:00:00.544934,0.96,OK,tbwa,"{'pipeline': 'ces_data_freshness_pipeline', 'environment': 'production', 'region': 'us-east-1'}"
